frame,elapsed_ms
1719,16.603395
1720,16.707808
1721,16.598368
1722,16.735456
1723,16.669928
1724,16.615701
1725,16.665070
1726,16.694911
1727,16.568109
1728,16.929421
1729,16.602993
1730,16.860941
1731,16.589810
1732,16.525272
1733,16.579020
1734,16.771590
1735,16.718497
1736,16.616186
1737,16.618795
1738,16.750265
1739,16.502906
1740,16.832193
1741,16.606818
1742,16.676563
1743,16.762926
1744,16.570288
1745,16.661346
1746,16.689564
1747,16.634623
1748,16.702293
1749,16.819909
1750,16.724164
1751,16.342973
1752,16.766330
1753,16.655407
1754,16.665290
1755,16.695001
1756,16.623820
1757,16.572934
1758,16.780053
1759,16.651464
1760,16.750689
1761,16.589297
1762,16.648410
1763,16.600295
1764,16.765949
1765,16.642903
1766,16.697325
1767,16.655012
1768,16.678635
1769,16.563688
1770,16.924204
1771,16.514684
1772,16.694303
1773,16.684548
1774,16.698868
1775,16.477356
1776,16.824336
1777,16.611071
1778,16.673511
1779,16.694323
1780,16.590704
1781,16.604038
1782,16.797975
1783,16.626206
1784,16.750958
1785,16.562385
1786,16.674275
1787,16.586947
1788,16.723956
1789,16.685273
1790,16.785046
1791,16.583767
1792,16.612836
1793,16.602296
1794,16.960845
1795,16.526040
1796,16.585454
1797,16.653935
1798,16.732468
1799,16.536069
1800,16.745593
1801,16.675797
1802,16.769336
1803,16.630344
1804,16.608981
1805,16.669292
1806,16.755583
1807,16.682028
1808,16.661900
1809,16.648772
1810,16.876021
1811,16.392880
1812,16.753855
1813,16.634579
1814,16.733723
1815,16.651001
1816,16.612079
1817,16.585547
1818,16.808741
1819,16.614552
1820,16.658204
1821,16.673094
1822,16.671274
1823,16.600519
1824,16.724102
1825,16.652569
1826,16.719468
1827,16.681810
1828,16.596979
1829,16.616232
1830,16.742591
1831,16.665228
1832,16.668492
1833,16.658093
1834,16.814047
1835,16.445476
1836,16.734466
1837,16.658112
1838,16.679390
1839,16.727037
1840,16.602602
1841,16.586770
1842,16.750127
1843,16.691683
1844,16.637027
1845,16.656092
1846,16.690580
1847,16.610505
1848,16.701608
1849,16.669772
1850,16.681439
1851,16.764284
1852,16.705429
1853,16.448227
1854,16.912357
1855,16.562770
1856,16.591223
1857,16.663706
1858,16.677934
1859,16.590818
1860,16.738359
1861,16.653318
1862,16.779676
1863,16.788623
1864,16.721982
1865,16.326258
1866,16.916723
1867,16.571779
1868,16.589464
1869,16.682352
1870,16.663885
1871,16.650481
1872,16.670041
1873,16.650823
1874,16.700881
1875,16.794847
1876,16.612095
1877,16.485965
1878,16.744002
1879,16.686924
1880,16.648948
1881,16.658172
1882,16.661706
1883,16.604628
1884,16.741765
1885,16.662083
1886,16.665020
1887,16.726392
1888,16.611264
1889,16.600320
1890,16.736101
1891,16.677152
1892,16.660173
1893,16.657239
1894,16.678147
1895,16.586872
1896,16.731475
1897,16.663713
1898,16.668840
1899,16.687057
1900,16.649695
1901,16.591815
1902,16.753099
1903,16.688885
1904,16.642385
1905,16.746605
1906,16.584399
1907,16.627365
1908,16.787127
1909,16.660582
1910,16.604943
1911,16.662293
1912,16.663163
1913,16.586939
1914,16.797315
1915,16.625873
1916,16.668068
1917,16.651776
1918,16.675696
1919,16.614482
1920,16.725694
1921,16.635329
1922,16.678439
1923,16.764665
1924,16.580282
1925,16.577613
1926,16.745706
1927,16.727954
1928,16.611530
1929,16.659414
1930,16.671874
1931,16.606697
1932,16.743392
1933,16.664904
1934,16.672484
1935,16.691356
1936,16.695963
1937,16.527630
1938,16.778687
1939,16.619821
1940,16.663047
1941,16.664323
1942,16.669005
1943,16.595696
1944,16.734919
1945,16.663054
1946,16.659211
1947,16.685641
1948,16.729425
1949,16.533289
1950,16.742968
1951,16.682811
1952,16.655067
1953,16.659829
1954,16.663608
1955,16.646266
1956,16.787503
1957,16.632396
1958,16.592175
1959,16.747591
1960,16.589219
1961,16.592685
1962,16.830512
1963,16.608795
1964,16.647574
1965,16.699176
1966,16.682806
1967,16.543451
1968,16.771531
1969,16.673427
1970,16.643093
1971,16.718149
1972,16.700121
1973,16.491964
1974,16.808929
1975,16.605321
1976,16.684190
1977,16.650130
1978,16.725206
1979,16.542124
1980,16.928351
1981,16.559507
1982,16.584136
1983,16.964664
1984,16.701540
1985,16.427136
1986,16.845546
1987,16.617593
1988,16.646439
1989,16.643055
1990,16.664777
1991,16.595941
1992,16.759864
1993,16.687325
1994,16.625856
1995,16.683520
1996,16.754312
1997,16.464788
1998,16.798375
1999,16.690231
2000,16.697568
2001,16.614320
2002,16.640146
2003,16.593467
2004,16.788658
2005,16.654681
2006,16.647515
2007,16.653010
2008,16.683052
2009,16.562355
2010,16.757062
2011,16.670294
2012,16.751844
2013,16.609890
2014,16.635477
2015,17.005039
2016,16.768740
2017,16.703902
2018,16.623994
2019,16.803445
2020,16.696512
2021,16.407357
2022,16.750017
2023,16.700691
2024,16.763626
2025,16.525426
2026,16.690341
2027,16.563068
2028,16.838764
2029,16.600025
2030,16.650612
2031,16.723730
2032,16.642188
2033,16.548936
2034,16.775602
2035,16.643358
2036,16.718847
2037,16.642431
2038,16.684076
2039,16.572380
2040,16.849938
2041,16.554803
2042,16.652604
2043,16.689937
2044,16.734033
2045,16.478027
2046,16.789881
2047,16.850109
2048,16.510078
2049,16.618835
2050,16.675515
2051,16.591927
2052,16.780712
2053,16.678246
2054,16.669308
2055,16.660010
2056,16.713531
2057,16.515897
2058,16.757089
2059,16.647574
2060,16.685457
2061,16.688481
2062,16.652298
2063,16.576073
2064,16.763352
2065,16.631401
2066,16.707843
2067,16.864649
2068,16.467710
2069,16.569760
2070,16.751340
2071,16.672509
2072,16.677156
2073,16.650175
2074,16.763898
2075,16.482033
2076,16.756910
2077,16.659328
2078,16.838149
2079,16.485089
2080,16.731429
2081,16.531459
2082,16.734904
2083,16.770717
2084,16.565090
2085,16.838844
2086,16.505953
2087,16.594453
2088,16.728073
2089,16.657410
2090,16.821666
2091,16.511673
2092,16.778668
2093,16.483707
2094,16.802475
2095,16.790691
2096,16.585071
2097,16.570687
2098,16.672074
2099,16.576708
2100,16.749915
2101,16.686670
2102,16.640353
2103,16.720580
2104,16.699921
2105,16.534543
2106,16.755753
2107,16.635698
2108,16.710588
2109,16.694994
2110,16.650267
2111,16.528018
2112,16.834990
2113,16.600686
2114,16.667726
2115,16.687541
2116,16.708521
2117,16.514399
2118,16.764307
2119,16.635113
2120,16.728644
2121,16.668540
2122,16.600979
2123,16.590705
2124,16.748558
2125,16.660548
2126,16.710037
2127,16.636788
2128,16.674927
2129,16.568320
